Spongia (Spongia) virgultosa
Spongionella pulchella
Stegolaria geniculata
Stelletta hispida
Stenocyathus vermiformis
Stenopus spinosus
Stenothoe dollfusi
Stenothoe marina
Stenothoe monoculoides
Stenothoe tergestina
Stephanocyathus (Odontocyathus) nobilis
Stephanocyathus (Stephanocyathus) diadema
Stichopathes gracilis
Stichopathes gravieri
Stramonita haemastoma
Streptocaulus corneliusi
Streptocaulus pectiniferus
Striarca lactea
Styela clava
Styela plicata
Styliola subula
Suberites carnosus
Suberites syringella
Subeucalanus crassus
Sunamphitoe pelagica
Swiftia dubia
Sycon ciliatum
Sycozoa melopepona
Symphylella vulgaris
Symplectoscyphus filiformis
Synoicum incrustatum
Systellaspis debilis
Talitrus saltator
Talochlamys multistriata
Talochlamys pusio
Tamarisca tamarisca
Tambja ceutae
Tanacetipathes squamosa
Tanais dulongii
Tanais grimaldii
Tanystylum orbiculare
Taringa tritorquis
Tectarius striatus
Tectonatica rizzae
Tectura virginea
Tedania (Tedania) anhelans
Tellimya ferruginosa
Telmatactis cricoides
Telmatactis forskalii
Temora longicornis
Temora stylifera
Teredora malleolus
Teretia teres
Terpios fugax
Tesseropora atlantica
Tethya aurantium
Thetystrombus coronatus
Thouarella (Euthouarella) hilgendorfi
Thracia phaseolina
Thuridilla mazda
Thylaeodus rugulosus
Thymosia guernei
Timea unistellata
Timoclea ovata
Todarodes sagittatus
Tomopteris nationalis
Tonna galea
Topsentia glabra
Tornus subcarinatus
Tremoctopus violaceus
Tricellaria inopinata
Tricolia pullus
Trinchesia caerulea
Trinchesia foliata
Tritaeta gibbosa
